,strategy,ticker,time window,commission,market,yearly avg performance strategy (%),yearly avg performance buy & hold (%)
178,MovingAverageCrossOver,EFX,2010-01-01/2023-01-01,0.3,S&P 500,9.521666666666667,17.910833333333333
179,MovingAverageCrossOver,EQIX,2010-01-01/2023-01-01,0.3,XLRE,13.145000000000001,20.02
180,MovingAverageCrossOver,EQR,2010-01-01/2023-01-01,0.3,XLRE,5.997499999999999,5.8
181,MovingAverageCrossOver,ESS,2010-01-01/2023-01-01,0.3,XLRE,7.756666666666665,9.825833333333334
182,MovingAverageCrossOver,EL,2010-01-01/2023-01-01,0.3,XLP,12.709166666666667,20.744999999999997
183,MovingAverageCrossOver,ETSY,2010-01-01/2023-01-01,0.3,S&P 500,37.13857142857143,51.23000000000001
184,MovingAverageCrossOver,EG,2010-01-01/2023-01-01,0.3,S&P 500,6.229166666666665,11.760833333333336
185,MovingAverageCrossOver,EVRG,2010-01-01/2023-01-01,0.3,S&P 500,3.9208333333333343,9.278333333333334
186,MovingAverageCrossOver,ES,2010-01-01/2023-01-01,0.3,XLU,2.4516666666666667,9.938333333333334
187,MovingAverageCrossOver,EXC,2010-01-01/2023-01-01,0.3,XLU,-0.2450000000000004,3.9250000000000003
188,MovingAverageCrossOver,EXPE,2010-01-01/2023-01-01,0.3,S&P 500,-0.48916666666666614,11.886666666666665
189,MovingAverageCrossOver,EXPD,2010-01-01/2023-01-01,0.3,S&P 500,2.875,8.845833333333333
190,MovingAverageCrossOver,EXR,2010-01-01/2023-01-01,0.3,XLRE,21.94916666666667,24.9075
191,MovingAverageCrossOver,XOM,2010-01-01/2023-01-01,0.3,XLE,4.3275,5.4925
192,MovingAverageCrossOver,FFIV,2010-01-01/2023-01-01,0.3,S&P 500,1.7375000000000005,8.051666666666668
193,MovingAverageCrossOver,FDS,2010-01-01/2023-01-01,0.3,S&P 500,4.3775,15.677499999999997
194,MovingAverageCrossOver,FICO,2010-01-01/2023-01-01,0.3,S&P 500,14.246666666666668,29.10666666666666
195,MovingAverageCrossOver,FAST,2010-01-01/2023-01-01,0.3,S&P 500,5.821666666666666,13.536666666666667
196,MovingAverageCrossOver,FRT,2010-01-01/2023-01-01,0.3,XLRE,5.980833333333333,4.501666666666667
197,MovingAverageCrossOver,FDX,2010-01-01/2023-01-01,0.3,XLI,13.214166666666666,9.785833333333334
198,MovingAverageCrossOver,FITB,2010-01-01/2023-01-01,0.3,XLF,7.635833333333333,11.885833333333332
199,MovingAverageCrossOver,FSLR,2010-01-01/2023-01-01,0.3,S&P 500,9.313333333333334,7.63
200,MovingAverageCrossOver,FE,2010-01-01/2023-01-01,0.3,XLU,1.3025,1.274166666666667
201,MovingAverageCrossOver,FIS,2010-01-01/2023-01-01,0.3,S&P 500,9.300000000000002,12.385833333333332
202,MovingAverageCrossOver,FI,2010-01-01/2023-01-01,0.3,S&P 500,14.759999999999998,19.384999999999994
203,MovingAverageCrossOver,FLT,2010-01-01/2023-01-01,0.3,S&P 500,16.894166666666667,22.077499999999997
